newXOutput 1

<Section columns = "stress_xx | stress_yy | stress_xy">
  3 241.685 -0.00551184 8.67770e-15
  4 241.685 -0.00551184 -1.39993e-14
  5 241.685 -0.00551184 5.01196e-15
  6 241.685 -0.00551184 6.37879e-15
  7 241.685 -0.00551184 -1.21795e-14
  8 241.685 -0.00551184 -1.55643e-15
  9 241.685 -0.00551184 6.48776e-14
  10 241.685 -0.00551184 5.64154e-14
  11 241.685 -0.00551184 6.47112e-14
  12 241.685 -0.00551184 8.05965e-14
</Section>

newXOutput 12

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 265.126 -0.00549985 1.66175e-14
  2 265.126 -0.00549985 4.12189e-15
  3 265.126 -0.00549985 1.93897e-14
  4 265.126 -0.00549985 1.08510e-15
  5 265.126 -0.00549985 4.45991e-14
  6 265.126 -0.00549985 4.72226e-14
  7 265.126 -0.00549985 1.36977e-14
  8 265.126 -0.00549985 2.19309e-14
  9 265.126 -0.00549985 -2.75228e-14
  10 265.126 -0.00549985 -1.09525e-14
  11 265.126 -0.00549985 -1.09388e-13
  12 265.126 -0.00549985 -3.77828e-14
</Section>

newXOutput 13

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 288.439 -0.00548791 3.65843e-14
  2 288.439 -0.00548791 1.78884e-14
  3 288.439 -0.00548791 3.96497e-15
  4 288.439 -0.00548791 -1.83263e-14
  5 288.439 -0.00548791 -4.56886e-14
  6 288.439 -0.00548791 -4.28123e-14
  7 288.439 -0.00548791 -4.38330e-14
  8 288.439 -0.00548791 -3.09734e-14
  9 288.439 -0.00548791 -9.74803e-14
  10 288.439 -0.00548791 -8.75687e-14
  11 288.439 -0.00548791 -2.38621e-14
  12 288.439 -0.00548791 -1.52301e-15
</Section>

newXOutput 14

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 311.625 -0.00547602 2.38997e-15
  2 311.625 -0.00547602 -1.05068e-14
  3 311.625 -0.00547602 3.94181e-15
  4 311.625 -0.00547602 -1.32539e-14
  5 311.625 -0.00547602 7.56440e-15
  6 311.625 -0.00547602 1.50482e-14
  7 311.625 -0.00547602 -3.41962e-14
  8 311.625 -0.00547602 -1.14954e-14
  9 311.625 -0.00547602 -6.11648e-15
  10 311.625 -0.00547602 -2.77085e-14
  11 311.625 -0.00547602 -2.90939e-14
  12 311.625 -0.00547602 -2.68371e-14
</Section>

newXOutput 15

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 334.683 -0.00546418 1.25150e-14
  2 334.683 -0.00546418 -2.46086e-14
  3 334.683 -0.00546418 2.21310e-14
  4 334.683 -0.00546418 -1.92761e-14
  5 334.683 -0.00546418 1.42347e-15
  6 334.683 -0.00546418 1.51635e-15
  7 334.683 -0.00546418 -2.18677e-14
  8 334.683 -0.00546418 4.55686e-15
  9 334.683 -0.00546418 1.29002e-14
  10 334.683 -0.00546418 4.03712e-14
  11 334.683 -0.00546418 -1.21408e-14
  12 334.683 -0.00546418 1.20742e-14
</Section>

newXOutput 16

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 357.616 -0.00545239 2.74140e-14
  2 357.616 -0.00545239 3.23935e-14
  3 357.616 -0.00545239 6.72876e-15
  4 357.616 -0.00545239 9.21851e-15
  5 357.616 -0.00545239 3.89459e-14
  6 357.616 -0.00545239 3.79701e-14
  7 357.616 -0.00545239 5.98868e-14
  8 357.616 -0.00545239 4.42394e-14
  9 357.616 -0.00545239 3.03335e-14
  10 357.616 -0.00545239 5.35028e-14
  11 357.616 -0.00545239 -4.27289e-14
  12 357.616 -0.00545239 -4.49744e-14
</Section>

newXOutput 17

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 380.423 -0.00544064 -6.98383e-15
  2 380.423 -0.00544064 2.88367e-16
  3 380.423 -0.00544064 -1.87437e-14
  4 380.423 -0.00544064 -1.55989e-14
  5 380.423 -0.00544064 -3.75083e-14
  6 380.423 -0.00544064 -3.77730e-14
  7 380.423 -0.00544064 -3.21364e-14
  8 380.423 -0.00544064 -4.77349e-14
  9 380.423 -0.00544064 -6.79225e-14
  10 380.423 -0.00544064 -6.46827e-14
  11 380.423 -0.00544064 -6.78959e-14
  12 380.423 -0.00544064 -8.22001e-14
</Section>

newXOutput 18

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 403.107 -0.00542895 -6.02640e-14
  2 403.107 -0.00542895 -5.90395e-14
  3 403.107 -0.00542895 -9.73872e-15
  4 403.107 -0.00542895 -4.39759e-15
  5 403.107 -0.00542895 2.85893e-13
  6 403.107 -0.00542895 2.90573e-13
  7 403.107 -0.00542895 -1.59369e-13
  8 403.107 -0.00542895 -1.56817e-13
  9 403.107 -0.00542895 -3.87460e-14
  10 403.107 -0.00542895 -7.79738e-14
  11 403.107 -0.00542895 8.48659e-14
  12 403.107 -0.00542895 1.21112e-13
</Section>

newXOutput 19

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 425.667 -0.00541730 6.51570e-14
  2 425.667 -0.00541730 7.95896e-14
  3 425.667 -0.00541730 -1.48512e-14
  4 425.667 -0.00541730 -1.27076e-14
  5 425.667 -0.00541730 -6.95098e-14
  6 425.667 -0.00541730 -7.68126e-14
  7 425.667 -0.00541730 5.57313e-14
  8 425.667 -0.00541730 5.06353e-14
  9 425.667 -0.00541730 -2.89340e-14
  10 425.667 -0.00541730 -3.87349e-14
  11 425.667 -0.00541730 1.14665e-13
  12 425.667 -0.00541730 -2.39814e-14
</Section>

newXOutput 20

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 448.104 -0.00540570 3.14777e-14
  2 448.104 -0.00540570 4.12951e-14
  3 448.104 -0.00540570 -1.26406e-14
  4 448.104 -0.00540570 -1.29912e-14
  5 448.104 -0.00540570 -2.82518e-14
  6 448.104 -0.00540570 -3.33410e-14
  7 448.104 -0.00540570 6.61759e-14
  8 448.104 -0.00540570 4.31634e-14
  9 448.104 -0.00540570 -3.74648e-15
  10 448.104 -0.00540570 -2.53713e-14
  11 448.104 -0.00540570 -7.27312e-14
  12 448.104 -0.00540570 -1.10021e-13
</Section>

newXOutput 21

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 470.421 -0.00539414 3.20160e-14
  2 470.421 -0.00539414 3.61776e-14
  3 470.421 -0.00539414 1.93815e-14
  4 470.421 -0.00539414 1.12448e-14
  5 470.421 -0.00539414 1.25963e-14
  6 470.421 -0.00539414 8.84559e-16
  7 470.421 -0.00539414 3.31084e-14
  8 470.421 -0.00539414 4.54529e-14
  9 470.421 -0.00539414 2.59111e-14
  10 470.421 -0.00539414 8.31427e-14
  11 470.421 -0.00539414 -6.98453e-14
  12 470.421 -0.00539414 -9.95488e-15
</Section>

newXOutput 22

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 492.616 -0.00538264 -5.07922e-15
  2 492.616 -0.00538264 -2.00558e-15
  3 492.616 -0.00538264 -5.73106e-14
  4 492.616 -0.00538264 -5.75768e-14
  5 492.616 -0.00538264 -5.56512e-14
  6 492.616 -0.00538264 -6.76719e-14
  7 492.616 -0.00538264 4.92772e-14
  8 492.616 -0.00538264 6.26106e-14
  9 492.616 -0.00538264 8.14228e-14
  10 492.616 -0.00538264 1.55658e-13
  11 492.616 -0.00538264 2.83940e-14
  12 492.616 -0.00538264 2.27105e-13
</Section>

newXOutput 23

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 514.691 -0.00537118 -4.99344e-14
  2 514.691 -0.00537118 4.99722e-14
  3 514.691 -0.00537118 -4.54676e-15
  4 514.691 -0.00537118 6.48328e-14
  5 514.691 -0.00537118 1.94391e-13
  6 514.691 -0.00537118 1.62637e-13
  7 514.691 -0.00537118 -1.73142e-13
  8 514.691 -0.00537118 -2.16412e-13
  9 514.691 -0.00537118 5.36317e-15
  10 514.691 -0.00537118 -5.09258e-15
  11 514.691 -0.00537118 4.98926e-14
  12 514.691 -0.00537118 -2.45101e-16
</Section>

newXOutput 24

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 536.648 -0.00535976 -2.21869e-15
  2 536.648 -0.00535976 1.33015e-13
  3 536.648 -0.00535976 3.66645e-14
  4 536.648 -0.00535976 2.31045e-14
  5 536.648 -0.00535976 -4.47225e-14
  6 536.648 -0.00535976 -7.98229e-14
  7 536.648 -0.00535976 4.43073e-14
  8 536.648 -0.00535976 8.96703e-14
  9 536.648 -0.00535976 -1.13957e-13
  10 536.648 -0.00535976 -1.44209e-13
  11 536.648 -0.00535976 -1.30505e-13
  12 536.648 -0.00535976 -2.59855e-13
</Section>

newXOutput 25

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 558.485 -0.00534840 6.09993e-14
  2 558.485 -0.00534840 -4.57788e-14
  3 558.485 -0.00534840 -4.24858e-14
  4 558.485 -0.00534840 -6.65970e-14
  5 558.485 -0.00534840 -9.42692e-14
  6 558.485 -0.00534840 -3.86587e-14
  7 558.485 -0.00534840 1.38945e-13
  8 558.485 -0.00534840 1.29369e-13
  9 558.485 -0.00534840 2.61907e-13
  10 558.485 -0.00534840 2.31131e-13
  11 558.485 -0.00534840 -1.54545e-13
  12 558.485 -0.00534840 -1.57645e-13
</Section>

newXOutput 26

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 580.206 -0.00533707 4.95645e-14
  2 580.206 -0.00533707 -3.92366e-14
  3 580.206 -0.00533707 -1.71778e-14
  4 580.206 -0.00533707 -3.57880e-14
  5 580.206 -0.00533707 -5.54438e-14
  6 580.206 -0.00533707 -3.12120e-15
  7 580.206 -0.00533707 -4.66142e-14
  8 580.206 -0.00533707 -5.25442e-14
  9 580.206 -0.00533707 4.52683e-15
  10 580.206 -0.00533707 -2.19413e-14
  11 580.206 -0.00533707 -5.45738e-14
  12 580.206 -0.00533707 -6.59375e-14
</Section>

newXOutput 27

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 601.810 -0.00532580 7.40049e-14
  2 601.810 -0.00532580 -8.07939e-15
  3 601.810 -0.00532580 -3.88631e-14
  4 601.810 -0.00532580 -4.15993e-14
  5 601.810 -0.00532580 -1.00467e-14
  6 601.810 -0.00532580 -9.26661e-14
  7 601.810 -0.00532580 3.10854e-14
  8 601.810 -0.00532580 2.65354e-14
  9 601.810 -0.00532580 9.13585e-14
  10 601.810 -0.00532580 1.60597e-13
  11 601.810 -0.00532580 -1.01021e-15
  12 601.810 -0.00532580 -6.19747e-14
</Section>

newXOutput 28

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 623.298 -0.00531457 6.92041e-14
  2 623.298 -0.00531457 -3.21722e-16
  3 623.298 -0.00531457 1.00922e-15
  4 623.298 -0.00531457 -2.39891e-15
  5 623.298 -0.00531457 5.62982e-14
  6 623.298 -0.00531457 -6.26544e-15
  7 623.298 -0.00531457 -5.59770e-14
  8 623.298 -0.00531457 -8.30138e-14
  9 623.298 -0.00531457 1.67557e-14
  10 623.298 -0.00531457 1.17657e-14
  11 623.298 -0.00531457 1.00352e-13
  12 623.298 -0.00531457 3.17004e-15
</Section>

newXOutput 29

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 644.670 -0.00530338 8.09539e-14
  2 644.670 -0.00530338 -6.88491e-15
  3 644.670 -0.00530338 -1.20927e-15
  4 644.670 -0.00530338 -5.08644e-14
  5 644.670 -0.00530338 -1.10830e-13
  6 644.670 -0.00530338 -9.72453e-14
  7 644.670 -0.00530338 2.71230e-14
  8 644.670 -0.00530338 1.89723e-14
  9 644.670 -0.00530338 4.93917e-14
  10 644.670 -0.00530338 4.12369e-14
  11 644.670 -0.00530338 -3.43672e-14
  12 644.670 -0.00530338 4.07928e-14
</Section>

newXOutput 30

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 665.929 -0.00529224 -8.00887e-15
  2 665.929 -0.00529224 1.94015e-13
  3 665.929 -0.00529224 -3.25218e-14
  4 665.929 -0.00529224 5.85045e-14
  5 665.929 -0.00529224 -3.16448e-14
  6 665.929 -0.00529224 -3.55657e-14
  7 665.929 -0.00529224 -4.05321e-14
  8 665.929 -0.00529224 -5.25066e-14
  9 665.929 -0.00529224 -3.70877e-14
  10 665.929 -0.00529224 -5.73101e-14
  11 665.929 -0.00529224 -7.03815e-14
  12 665.929 -0.00529224 -6.48010e-14
</Section>

newXOutput 31

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 687.074 -0.00528115 -1.76659e-14
  2 687.074 -0.00528115 1.50476e-13
  3 687.074 -0.00528115 -7.81039e-14
  4 687.074 -0.00528115 -2.49489e-15
  5 687.074 -0.00528115 -3.04202e-14
  6 687.074 -0.00528115 -2.77224e-14
  7 687.074 -0.00528115 5.29100e-14
  8 687.074 -0.00528115 4.17184e-14
  9 687.074 -0.00528115 1.15408e-13
  10 687.074 -0.00528115 2.68307e-14
  11 687.074 -0.00528115 -7.13879e-14
  12 687.074 -0.00528115 -2.83814e-14
</Section>

newXOutput 32

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 708.106 -0.00527009 1.36360e-13
  2 708.106 -0.00527009 1.11791e-16
  3 708.106 -0.00527009 8.30992e-14
  4 708.106 -0.00527009 2.46932e-14
  5 708.106 -0.00527009 -3.41700e-14
  6 708.106 -0.00527009 -1.02423e-14
  7 708.106 -0.00527009 6.02602e-14
  8 708.106 -0.00527009 8.27271e-14
  9 708.106 -0.00527009 5.10845e-14
  10 708.106 -0.00527009 2.86116e-14
  11 708.106 -0.00527009 3.24145e-14
  12 708.106 -0.00527009 3.37587e-14
</Section>

newXOutput 33

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 729.026 -0.00525909 1.26674e-13
  2 729.026 -0.00525909 -3.67464e-14
  3 729.026 -0.00525909 4.67991e-14
  4 729.026 -0.00525909 -3.42412e-14
  5 729.026 -0.00525909 1.57418e-13
  6 729.026 -0.00525909 1.66256e-13
  7 729.026 -0.00525909 -9.98151e-14
  8 729.026 -0.00525909 -1.11810e-13
