newXOutput 1

<Section columns = "stress_xx | stress_yy | stress_xy">
  11 249.537 0.00000 1.15219e-15
  12 249.537 0.00000 1.75054e-14
  13 249.537 0.00000 1.01480e-14
  14 249.537 0.00000 2.37596e-15
  15 249.537 0.00000 1.21446e-14
  16 249.537 0.00000 -1.31586e-14
</Section>

newXOutput 10

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 280.814 0.00000 -1.88352e-14
  2 280.814 0.00000 -2.00984e-14
  3 280.814 0.00000 -1.38494e-14
  4 280.814 0.00000 -1.45194e-14
  5 280.814 0.00000 -1.02206e-14
  6 280.814 0.00000 -1.38801e-14
  7 280.814 0.00000 -5.53898e-14
  8 280.814 0.00000 -6.45210e-14
  9 280.814 0.00000 -2.28086e-14
  10 280.814 0.00000 -2.05146e-14
  11 280.814 0.00000 2.84116e-14
  12 280.814 0.00000 2.88276e-14
  13 280.814 0.00000 9.46560e-15
  14 280.814 0.00000 -9.36930e-16
  15 280.814 0.00000 4.70530e-14
  16 280.814 0.00000 2.46308e-14
</Section>

newXOutput 11

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 312.110 0.00000 1.46858e-14
  2 312.110 0.00000 1.23873e-14
  3 312.110 0.00000 1.73350e-14
  4 312.110 0.00000 1.79891e-14
  5 312.110 0.00000 1.92722e-14
  6 312.110 0.00000 2.56546e-14
  7 312.110 0.00000 1.27680e-14
  8 312.110 0.00000 1.47121e-14
  9 312.110 0.00000 2.22430e-14
  10 312.110 0.00000 2.56691e-14
  11 312.110 0.00000 -1.46346e-14
  12 312.110 0.00000 9.76890e-15
  13 312.110 0.00000 -3.04911e-14
  14 312.110 0.00000 -5.40633e-14
  15 312.110 0.00000 2.11552e-14
  16 312.110 0.00000 -4.11166e-14
</Section>

newXOutput 12

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 343.425 0.00000 -1.40979e-14
  2 343.425 0.00000 -1.87040e-14
  3 343.425 0.00000 -1.49636e-14
  4 343.425 0.00000 -1.71089e-14
  5 343.425 0.00000 6.90764e-15
  6 343.425 0.00000 4.25436e-15
  7 343.425 0.00000 -3.15069e-14
  8 343.425 0.00000 -3.15914e-14
  9 343.425 0.00000 -1.84590e-14
  10 343.425 0.00000 -8.58758e-16
  11 343.425 0.00000 5.57012e-14
  12 343.425 0.00000 3.20981e-14
  13 343.425 0.00000 7.66506e-14
  14 343.425 0.00000 5.70512e-14
  15 343.425 0.00000 4.72213e-14
  16 343.425 0.00000 4.10255e-14
</Section>

newXOutput 13

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 374.759 0.00000 -3.46776e-14
  2 374.759 0.00000 -3.62159e-14
  3 374.759 0.00000 -2.35425e-16
  4 374.759 0.00000 -2.38536e-15
  5 374.759 0.00000 1.18130e-14
  6 374.759 0.00000 1.11781e-14
  7 374.759 0.00000 -2.56929e-15
  8 374.759 0.00000 -6.23599e-16
  9 374.759 0.00000 1.35967e-14
  10 374.759 0.00000 2.16091e-14
  11 374.759 0.00000 5.74445e-14
  12 374.759 0.00000 3.08831e-14
  13 374.759 0.00000 -3.43288e-15
  14 374.759 0.00000 -1.01970e-14
  15 374.759 0.00000 -4.39083e-14
  16 374.759 0.00000 -2.08327e-14
</Section>

newXOutput 14

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 406.112 0.00000 7.52434e-15
  2 406.112 0.00000 1.35884e-15
  3 406.112 0.00000 2.07804e-14
  4 406.112 0.00000 1.82939e-14
  5 406.112 0.00000 2.47686e-14
  6 406.112 0.00000 1.88501e-14
  7 406.112 0.00000 -2.41171e-14
  8 406.112 0.00000 -2.53773e-14
  9 406.112 0.00000 -9.66541e-15
  10 406.112 0.00000 -1.90493e-14
  11 406.112 0.00000 3.25864e-14
  12 406.112 0.00000 1.00495e-14
  13 406.112 0.00000 6.28600e-14
  14 406.112 0.00000 8.27021e-14
  15 406.112 0.00000 -4.43033e-14
  16 406.112 0.00000 2.57059e-15
</Section>

newXOutput 15

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 437.485 0.00000 -8.73423e-15
  2 437.485 0.00000 -1.70260e-14
  3 437.485 0.00000 1.39123e-14
  4 437.485 0.00000 9.45888e-15
  5 437.485 0.00000 1.94035e-14
  6 437.485 0.00000 4.09363e-15
  7 437.485 0.00000 5.73004e-15
  8 437.485 0.00000 5.52769e-15
  9 437.485 0.00000 9.52825e-15
  10 437.485 0.00000 -1.05327e-14
  11 437.485 0.00000 -6.49595e-15
  12 437.485 0.00000 -2.26817e-15
  13 437.485 0.00000 -2.51968e-14
  14 437.485 0.00000 -3.04145e-14
  15 437.485 0.00000 -1.04562e-13
  16 437.485 0.00000 -7.79040e-14
</Section>

newXOutput 16

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 468.877 0.00000 3.40760e-15
  2 468.877 0.00000 -1.82558e-14
  3 468.877 0.00000 1.65135e-14
  4 468.877 0.00000 5.22275e-15
  5 468.877 0.00000 2.73430e-14
  6 468.877 0.00000 2.22171e-14
  7 468.877 0.00000 -5.53165e-15
  8 468.877 0.00000 -4.18059e-15
  9 468.877 0.00000 2.85896e-14
  10 468.877 0.00000 3.16844e-14
  11 468.877 0.00000 1.50661e-14
  12 468.877 0.00000 2.59230e-14
  13 468.877 0.00000 1.34683e-13
  14 468.877 0.00000 1.35857e-13
  15 468.877 0.00000 1.41776e-13
  16 468.877 0.00000 1.07965e-13
</Section>

newXOutput 17

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 500.288 0.00000 -7.28130e-15
  2 500.288 0.00000 -2.27852e-14
  3 500.288 0.00000 9.20601e-15
  4 500.288 0.00000 -5.57029e-16
  5 500.288 0.00000 6.70115e-15
  6 500.288 0.00000 3.19337e-14
  7 500.288 0.00000 -6.21086e-14
  8 500.288 0.00000 -4.85280e-14
  9 500.288 0.00000 -4.58039e-14
  10 500.288 0.00000 -5.28688e-14
  11 500.288 0.00000 4.88854e-14
  12 500.288 0.00000 1.94007e-14
  13 500.288 0.00000 -1.17244e-14
  14 500.288 0.00000 -2.71251e-14
  15 500.288 0.00000 -1.51544e-13
  16 500.288 0.00000 -1.42828e-13
</Section>

newXOutput 18

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 531.718 0.00000 -3.15757e-14
  2 531.718 0.00000 -4.01352e-14
  3 531.718 0.00000 -1.62435e-14
  4 531.718 0.00000 -1.83893e-14
  5 531.718 0.00000 5.36255e-15
  6 531.718 0.00000 1.30725e-14
  7 531.718 0.00000 1.11283e-14
  8 531.718 0.00000 -2.96300e-15
  9 531.718 0.00000 2.93687e-14
  10 531.718 0.00000 2.81115e-14
  11 531.718 0.00000 1.30255e-15
  12 531.718 0.00000 -1.28939e-14
  13 531.718 0.00000 2.90051e-14
  14 531.718 0.00000 4.39702e-14
  15 531.718 0.00000 -1.16862e-14
