newXOutput 1

<Section columns = "stress_xx | stress_yy | stress_zz | stress_xy | stress_yz | stress_xz">
  6 565.195 -9.72996e-08 112.415 -3.86802e-33 -3.11705e-15 -4.42808e-15
  7 565.195 -9.72996e-08 112.415 -3.86802e-33 -9.08394e-15 -4.42808e-15
  8 565.195 -9.72996e-08 112.415 -1.44357e-32 -6.67843e-15 -1.65258e-14
</Section>

newXOutput 8

<Section columns = "stress_xx | stress_yy | stress_zz | stress_xy | stress_yz | stress_xz">
  1 654.014 -9.58735e-08 130.796 -4.91145e-34 2.64567e-16 -1.42168e-15
  2 654.014 -9.58735e-08 130.796 -1.44464e-33 1.27137e-16 -8.85813e-15
  3 654.014 -9.58735e-08 130.796 -1.31602e-34 -8.27768e-17 -1.24331e-15
  4 654.014 -9.58735e-08 130.796 -3.87091e-34 2.90154e-15 -5.59193e-15
  5 654.014 -9.58735e-08 130.796 -2.13667e-34 2.52681e-16 -2.10181e-15
  6 654.014 -9.58735e-08 130.796 -4.09080e-34 8.27768e-17 -1.13964e-14
  7 654.014 -9.58735e-08 130.796 -5.72519e-35 -7.00632e-16 -3.78158e-15
  8 654.014 -9.58735e-08 130.796 -1.09613e-34 5.95675e-16 -1.50649e-14
</Section>

newXOutput 9

<Section columns = "stress_xx | stress_yy | stress_zz | stress_xy | stress_yz | stress_xz">
  1 741.381 -9.44747e-08 149.077 -3.31154e-15 -2.33265e-15 3.44266e-15
  2 741.381 -9.44747e-08 149.077 -3.14768e-15 -8.34702e-16 1.28482e-14
  3 741.381 -9.44747e-08 149.077 -8.01807e-15 -7.57020e-15 -2.27303e-15
  4 741.381 -9.44747e-08 149.077 -7.40653e-15 -2.08461e-15 -8.48307e-15
  5 741.381 -9.44747e-08 149.077 -1.59687e-15 -2.49801e-15 4.11795e-15
  6 741.381 -9.44747e-08 149.077 -9.85328e-16 -1.45184e-15 1.53684e-14
  7 741.381 -9.44747e-08 149.077 -1.61882e-15 -7.61451e-15 2.47172e-16
  8 741.381 -9.44747e-08 149.077 6.63485e-16 -2.24997e-15 9.22459e-16
</Section>

newXOutput 10

<Section columns = "stress_xx | stress_yy | stress_zz | stress_xy | stress_yz | stress_xz">
  1 827.326 -9.31013e-08 167.261 5.93364e-17 -5.36621e-15 -5.19314e-16
  2 827.326 -9.31013e-08 167.261 2.21447e-16 -3.64437e-15 -2.73132e-15
  3 827.326 -9.31013e-08 167.261 2.21447e-16 -1.15725e-14 -5.69161e-15
  4 827.326 -9.31013e-08 167.261 8.26450e-16 -4.46964e-15 -2.42017e-14
  5 827.326 -9.31013e-08 167.261 2.21447e-16 -5.54324e-15 1.44727e-15
