newXOutput 1

<Section columns = "stress_xx | stress_yy | stress_xy">
  7 8.24196 1.60707e-15 1.00336e-15
  8 8.24196 -2.23885e-15 1.30450e-15
  9 8.24196 1.37402e-16 1.01996e-15
  10 8.24196 -1.91376e-15 1.49028e-15
  11 8.24196 -3.56980e-16 1.57433e-15
  12 8.24196 -5.48488e-15 2.10104e-15
  13 8.24196 -3.20779e-15 8.31610e-16
  14 8.24196 -4.69197e-15 1.32109e-15
  15 8.24196 -7.63871e-16 6.93732e-16
  16 8.24196 2.00229e-15 1.37857e-15
  17 8.24196 -5.29861e-15 2.72793e-16
  18 8.24196 -2.53245e-15 1.01808e-15
  19 8.24196 -7.54278e-15 4.87311e-16
  20 8.24196 -2.41488e-15 8.94224e-16
  21 8.24196 -1.78414e-15 8.09486e-16
  22 8.24196 3.04770e-15 1.66756e-15
  23 8.24196 -7.18893e-16 7.49042e-16
  24 8.24196 5.10949e-15 2.22341e-15
</Section>

newXOutput 7

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 9.89035 4.85310e-15 2.22605e-15
  2 9.89035 1.77636e-15 -3.51675e-16
  3 9.89035 3.17733e-15 2.10071e-15
  4 9.89035 1.00585e-16 8.86116e-16
  5 9.89035 3.50242e-15 1.90480e-15
  6 9.89035 1.45126e-15 2.60272e-15
  7 9.89035 1.58866e-15 1.53601e-15
  8 9.89035 1.07587e-15 2.27724e-15
  9 9.89035 4.44089e-15 8.75461e-16
  10 9.89035 3.92810e-15 1.09403e-15
  11 9.89035 3.17733e-15 1.22746e-15
  12 9.89035 2.66454e-15 1.34025e-15
  13 9.89035 2.42655e-15 1.37344e-15
  14 9.89035 -1.67577e-15 1.88504e-15
  15 9.89035 3.31473e-15 2.97881e-16
  16 9.89035 7.50777e-16 1.07339e-15
  17 9.89035 1.49093e-15 1.06746e-15
  18 9.89035 4.16324e-15 7.81434e-16
  19 9.89035 -2.96838e-15 3.96645e-16
  20 9.89035 1.94279e-15 9.08250e-16
  21 9.89035 -3.28284e-15 2.97881e-16
  22 9.89035 5.24689e-15 1.68376e-15
  23 9.89035 2.19426e-15 -7.66401e-17
  24 9.89035 1.40678e-14 1.84889e-15
</Section>

newXOutput 8

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 11.5387 5.22849e-15 1.23746e-15
  2 11.5387 3.17733e-15 -6.67036e-16
  3 11.5387 1.03621e-15 1.58826e-15
  4 11.5387 -6.10527e-16 8.16807e-16
  5 11.5387 3.16670e-15 1.46983e-15
  6 11.5387 7.11112e-16 1.76341e-15
  7 11.5387 2.66454e-15 5.72843e-16
  8 11.5387 2.15175e-15 1.24662e-15
  9 11.5387 -2.28915e-15 1.16702e-15
  10 11.5387 -1.26357e-15 1.93442e-15
  11 11.5387 -2.85223e-15 1.40662e-15
  12 11.5387 -3.87781e-15 1.57986e-15
  13 11.5387 1.21327e-15 6.77536e-16
  14 11.5387 -8.37886e-16 1.70884e-15
  15 11.5387 -6.13375e-16 1.22233e-15
  16 11.5387 -4.20291e-15 2.42687e-15
  17 11.5387 -1.96405e-15 4.18769e-16
  18 11.5387 -2.47684e-15 1.56287e-15
  19 11.5387 4.36309e-16 -8.19754e-16
  20 11.5387 6.99421e-15 4.29037e-16
  21 11.5387 -2.62202e-15 -7.59310e-16
  22 11.5387 4.26098e-15 -1.26816e-16
  23 11.5387 -3.53146e-15 -9.46570e-16
  24 11.5387 2.40529e-15 -2.53633e-16
</Section>

newXOutput 9

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 13.1871 8.66922e-16 2.05112e-15
  2 13.1871 -1.61770e-15 1.96450e-15
  3 13.1871 1.10491e-15 1.40852e-15
  4 13.1871 -7.29521e-16 7.16127e-16
  5 13.1871 3.75388e-16 3.64544e-16
  6 13.1871 3.75388e-16 -3.31358e-16
  7 13.1871 3.45213e-15 7.18423e-16
  8 13.1871 -6.50192e-16 1.18469e-15
  9 13.1871 3.25096e-16 4.46027e-16
