newXOutput 1

<Section columns = "stress_xx | stress_yy | stress_xy">
  9 38.6546 -5.50244e-10 1.02746e-14
  10 38.6546 -5.50244e-10 -2.35274e-15
  11 38.6546 -5.50244e-10 -9.51366e-15
  12 38.6546 -5.50244e-10 -1.10550e-14
  13 38.6546 -5.50244e-10 1.05499e-14
  14 38.6546 -5.50244e-10 -1.55233e-14
  15 38.6546 -5.50244e-10 -3.23403e-15
  16 38.6546 -5.50244e-10 4.75868e-16
  17 38.6546 -5.50244e-10 -7.32034e-15
  18 38.6546 -5.50244e-10 -1.06372e-14
  19 38.6546 -5.50244e-10 -1.09979e-14
  20 38.6546 -5.50244e-10 5.07429e-16
  21 38.6546 -5.50244e-10 1.85887e-15
  22 38.6546 -5.50244e-10 -9.69676e-16
  23 38.6546 -5.50244e-10 3.81958e-16
  24 38.6546 -5.50244e-10 2.60093e-15
  25 38.6546 -5.50244e-10 -1.36718e-15
  26 38.6546 -5.50244e-10 -4.22829e-16
  27 38.6546 -5.50244e-10 -6.46805e-16
  28 38.6546 -5.50244e-10 1.08778e-15
  29 38.6546 -5.50244e-10 -4.06118e-15
  30 38.6546 -5.50244e-10 1.43089e-14
  31 38.6546 -5.50244e-10 -6.16211e-16
  32 38.6546 -5.50244e-10 4.53256e-15
  33 38.6546 -5.50244e-10 -1.09676e-14
  34 38.6546 -5.50244e-10 1.15201e-15
  35 38.6546 -5.50244e-10 -9.10959e-16
  36 38.6546 -5.50244e-10 5.54371e-15
  37 38.6546 -5.50244e-10 -3.26163e-15
  38 38.6546 -5.50244e-10 -4.24272e-15
  39 38.6546 -5.50244e-10 1.73908e-15
  40 38.6546 -5.50244e-10 4.35778e-15
  41 38.6546 -5.50244e-10 -1.29193e-15
  42 38.6546 -5.50244e-10 5.92560e-15
  43 38.6546 -5.50244e-10 -3.52338e-15
  44 38.6546 -5.50244e-10 -4.04112e-15
  45 38.6546 -5.50244e-10 1.46908e-15
  46 38.6546 -5.50244e-10 4.30475e-15
  47 38.6546 -5.50244e-10 4.17873e-15
  48 38.6546 -5.50244e-10 -1.58719e-16
  49 38.6546 -5.50244e-10 2.49633e-16
  50 38.6546 -5.50244e-10 8.34677e-16
  51 38.6546 -5.50244e-10 2.16258e-15
  52 38.6546 -5.50244e-10 -2.68348e-15
  53 38.6546 -5.50244e-10 8.53516e-15
  54 38.6546 -5.50244e-10 -2.72664e-15
  55 38.6546 -5.50244e-10 -7.36051e-17
  56 38.6546 -5.50244e-10 -6.00699e-15
  57 38.6546 -5.50244e-10 -5.70959e-15
  58 38.6546 -5.50244e-10 -6.55391e-16
  59 38.6546 -5.50244e-10 -7.15427e-16
  60 38.6546 -5.50244e-10 1.69573e-14
  61 38.6546 -5.50244e-10 -3.44792e-15
  62 38.6546 -5.50244e-10 2.72347e-15
  63 38.6546 -5.50244e-10 5.26250e-16
  64 38.6546 -5.50244e-10 -1.95599e-14
  65 38.6546 -5.50244e-10 -7.29023e-16
  66 38.6546 -5.50244e-10 -1.49984e-15
</Section>

newXOutput 4

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 57.8559 -5.46606e-10 -5.10955e-15
  2 57.8559 -5.46606e-10 -2.56981e-14
  3 57.8559 -5.46606e-10 -1.75555e-14
  4 57.8559 -5.46606e-10 -1.10684e-15
  5 57.8559 -5.46606e-10 2.71348e-15
  6 57.8559 -5.46606e-10 4.52107e-15
  7 57.8559 -5.46606e-10 -2.30420e-15
  8 57.8559 -5.46606e-10 -3.95727e-15
  9 57.8559 -5.46606e-10 6.98833e-15
  10 57.8559 -5.46606e-10 -1.76078e-14
  11 57.8559 -5.46606e-10 -2.72364e-15
  12 57.8559 -5.46606e-10 -3.92199e-16
  13 57.8559 -5.46606e-10 -1.34918e-14
  14 57.8559 -5.46606e-10 3.50660e-15
  15 57.8559 -5.46606e-10 1.16093e-14
  16 57.8559 -5.46606e-10 7.59134e-15
  17 57.8559 -5.46606e-10 -1.12501e-14
  18 57.8559 -5.46606e-10 -4.51639e-15
  19 57.8559 -5.46606e-10 -3.58011e-15
  20 57.8559 -5.46606e-10 3.75190e-15
  21 57.8559 -5.46606e-10 -8.24668e-15
  22 57.8559 -5.46606e-10 -4.54602e-15
  23 57.8559 -5.46606e-10 -3.02661e-15
  24 57.8559 -5.46606e-10 -2.57457e-17
  25 57.8559 -5.46606e-10 9.36470e-16
  26 57.8559 -5.46606e-10 -1.05823e-15
  27 57.8559 -5.46606e-10 -2.57983e-15
  28 57.8559 -5.46606e-10 -1.26904e-15
  29 57.8559 -5.46606e-10 -8.75322e-15
  30 57.8559 -5.46606e-10 1.54311e-15
  31 57.8559 -5.46606e-10 3.61043e-15
  32 57.8559 -5.46606e-10 2.86600e-15
  33 57.8559 -5.46606e-10 -6.53707e-15
  34 57.8559 -5.46606e-10 3.01883e-15
  35 57.8559 -5.46606e-10 -3.88912e-15
  36 57.8559 -5.46606e-10 1.87478e-14
  37 57.8559 -5.46606e-10 4.54286e-15
  38 57.8559 -5.46606e-10 -3.71868e-15
  39 57.8559 -5.46606e-10 1.34989e-15
  40 57.8559 -5.46606e-10 1.07871e-14
  41 57.8559 -5.46606e-10 -6.15634e-15
  42 57.8559 -5.46606e-10 5.89983e-15
  43 57.8559 -5.46606e-10 -7.31020e-16
  44 57.8559 -5.46606e-10 -2.93510e-16
  45 57.8559 -5.46606e-10 -2.68633e-15
  46 57.8559 -5.46606e-10 -8.65188e-16
  47 57.8559 -5.46606e-10 8.32732e-15
  48 57.8559 -5.46606e-10 2.53180e-15
  49 57.8559 -5.46606e-10 1.04517e-14
  50 57.8559 -5.46606e-10 -8.36703e-16
  51 57.8559 -5.46606e-10 1.15936e-14
