newXOutput 1

<Section columns = "stress_xx | stress_yy | stress_xy">

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 274.550 0.00000 -1.47393e-14
  2 274.550 0.00000 -2.50928e-15
  3 274.550 0.00000 5.60856e-15
  4 274.550 0.00000 1.34434e-14
  5 274.550 0.00000 -1.67305e-14
  6 274.550 0.00000 -1.19690e-14
  7 274.550 0.00000 1.19210e-15
  8 274.550 0.00000 1.18370e-14
  9 274.550 0.00000 -3.23212e-14
  10 274.550 0.00000 -7.53947e-16
  11 274.550 0.00000 -1.92954e-14
  12 274.550 0.00000 3.55359e-14
</Section>

newXOutput 13

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 299.582 0.00000 9.45803e-16
  2 299.582 0.00000 1.26583e-14
  3 299.582 0.00000 -2.12806e-14
  4 299.582 0.00000 -9.29485e-15
  5 299.582 0.00000 2.01338e-14
  6 299.582 0.00000 2.26220e-14
  7 299.582 0.00000 4.81749e-14
  8 299.582 0.00000 5.07400e-14
  9 299.582 0.00000 -5.82456e-14
  10 299.582 0.00000 -7.19713e-14
  11 299.582 0.00000 9.04826e-15
  12 299.582 0.00000 3.68367e-15
</Section>

newXOutput 14

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 324.625 0.00000 -5.24356e-14
  2 324.625 0.00000 -3.24993e-14
  3 324.625 0.00000 1.42716e-15
  4 324.625 0.00000 -6.62404e-15
  5 324.625 0.00000 1.30590e-13
  6 324.625 0.00000 1.18074e-13
  7 324.625 0.00000 -1.48731e-13
  8 324.625 0.00000 -1.55032e-13
  9 324.625 0.00000 2.39104e-14
  10 324.625 0.00000 -4.76780e-14
  11 324.625 0.00000 1.15041e-13
  12 324.625 0.00000 1.96114e-14
</Section>

newXOutput 15

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 349.681 0.00000 2.99160e-14
  2 349.681 0.00000 3.37559e-14
  3 349.681 0.00000 3.12405e-14
  4 349.681 0.00000 3.81523e-14
  5 349.681 0.00000 -4.45541e-14
  6 349.681 0.00000 -4.28810e-14
  7 349.681 0.00000 3.34589e-15
  8 349.681 0.00000 2.23771e-16
  9 349.681 0.00000 -2.63402e-14
  10 349.681 0.00000 -1.13645e-14
  11 349.681 0.00000 -7.48497e-14
  12 349.681 0.00000 -4.87382e-14
</Section>

newXOutput 16

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 374.750 0.00000 4.98673e-14
  2 374.750 0.00000 4.98673e-14
  3 374.750 0.00000 1.11907e-14
  4 374.750 0.00000 1.81134e-14
  5 374.750 0.00000 -2.80711e-14
  6 374.750 0.00000 -2.37019e-14
  7 374.750 0.00000 3.16043e-14
  8 374.750 0.00000 3.41880e-14
  9 374.750 0.00000 -2.32522e-14
  10 374.750 0.00000 1.64612e-14
  11 374.750 0.00000 3.00008e-14
  12 374.750 0.00000 1.30272e-14
</Section>

newXOutput 17

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 399.830 0.00000 4.25164e-14
  2 399.830 0.00000 4.40572e-14
  3 399.830 0.00000 -5.26646e-15
  4 399.830 0.00000 5.13376e-15
  5 399.830 0.00000 4.54123e-14
  6 399.830 0.00000 5.05600e-14
  7 399.830 0.00000 1.26436e-13
  8 399.830 0.00000 1.28987e-13
  9 399.830 0.00000 -3.64899e-14
  10 399.830 0.00000 1.08419e-15
  11 399.830 0.00000 -8.75657e-14
  12 399.830 0.00000 -7.81343e-14
</Section>

newXOutput 18

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 424.923 0.00000 3.36595e-14
  2 424.923 0.00000 3.52027e-14
  3 424.923 0.00000 -1.54920e-14
  4 424.923 0.00000 -9.31930e-15
  5 424.923 0.00000 -3.57115e-14
  6 424.923 0.00000 -2.12717e-14
  7 424.923 0.00000 -9.79099e-15
  8 424.923 0.00000 -1.34994e-14
  9 424.923 0.00000 1.10715e-13
  10 424.923 0.00000 6.51428e-14
  11 424.923 0.00000 1.42384e-13
  12 424.923 0.00000 1.35244e-13
</Section>

newXOutput 19

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 450.028 0.00000 4.51288e-14
  2 450.028 0.00000 4.64745e-14
  3 450.028 0.00000 -1.00132e-14
  4 450.028 0.00000 -3.50693e-15
  5 450.028 0.00000 -3.81233e-14
  6 450.028 0.00000 -2.98523e-14
  7 450.028 0.00000 -3.61690e-15
  8 450.028 0.00000 1.73672e-14
  9 450.028 0.00000 -9.28232e-14
  10 450.028 0.00000 -4.32540e-14
  11 450.028 0.00000 -6.17031e-14
  12 450.028 0.00000 -1.06300e-13
</Section>

newXOutput 20

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 475.145 0.00000 1.76335e-14
  2 475.145 0.00000 2.16986e-14
  3 475.145 0.00000 -3.39675e-14
  4 475.145 0.00000 -2.11436e-14
  5 475.145 0.00000 -7.47662e-14
  6 475.145 0.00000 -6.89613e-14
  7 475.145 0.00000 3.78994e-14
  8 475.145 0.00000 5.56037e-14
  9 475.145 0.00000 3.53584e-14
  10 475.145 0.00000 6.83920e-14
  11 475.145 0.00000 -6.30904e-14
  12 475.145 0.00000 -4.24046e-14
</Section>

newXOutput 21

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 500.275 0.00000 3.38532e-14
  2 500.275 0.00000 4.74556e-14
  3 500.275 0.00000 2.14675e-15
  4 500.275 0.00000 1.99170e-14
  5 500.275 0.00000 -7.49096e-14
  6 500.275 0.00000 -7.02584e-14
  7 500.275 0.00000 -5.80176e-14
  8 500.275 0.00000 -3.13826e-14
  9 500.275 0.00000 5.59489e-15
  10 500.275 0.00000 7.31511e-14
  11 500.275 0.00000 1.67409e-18
  12 500.275 0.00000 1.76571e-14
</Section>

newXOutput 22

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 525.417 0.00000 2.75632e-14
